Weapon name,Operative type,Operative index,FF,Range,A,WBS,D,CD,Crit,AP,Relentless,Ceaseless,Balanced,Brutal,NoCover,Hot,Blast,Fusilade,Torrent,Limited,Heavy,Unwieldy,Silent,Unload Slugs,Smart Targeting,Indirect,Barrage,Detonate,P,CritMW,Rending,Stun,Lashwhip,Reap,Splash
Autogun,Neophyte Hybrid Trooper,7,True,,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shotgun,Neophyte Hybrid Trooper,7,True,⬟,4,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Gun Butt,Neophyte Hybrid Trooper,7,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Flamer,Neophyte Hybrid Gunner,8,True,⬟,5,2,2,2,6,0,False,False,False,False,False,False,,False,◯,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Frag Grenade Launcher,Neophyte Hybrid Gunner,8,True,,4,4,2,4,6,0,False,False,False,False,False,False,◯,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Krak Grenade Launcher,Neophyte Hybrid Gunner,8,True,,4,4,5,3,6,1,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Webber,Neophyte Hybrid Gunner,8,True,⬟,4,3,2,2,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,True,False,False,False
Gun Butt,Neophyte Hybrid Gunner,8,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Heavy Stubber,Neophyte Hybrid Heavy Gunner,9,True,,5,4,3,4,6,0,False,True,False,False,False,False,,True,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Mining Laser,Neophyte Hybrid Heavy Gunner,9,True,,5,4,5,6,6,1,False,False,False,False,False,False,,False,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Seismic Cannon - LW,Neophyte Hybrid Heavy Gunner,9,True,,6,4,2,2,6,0,False,False,False,False,False,False,▲,False,,False,True,False,False,False,False,False,False,False,0,0,False,True,False,False,False
Seismic Cannon - SW,Neophyte Hybrid Heavy Gunner,9,True,⬟,4,3,4,4,6,0,False,False,False,False,False,False,,False,,False,True,False,False,False,False,False,False,False,1,0,False,True,False,False,False
Gun Butt,Neophyte Hybrid Heavy Gunner,9,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Autogun,Neophyte Hybrid Icon Bearer,10,True,,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shotgun,Neophyte Hybrid Icon Bearer,10,True,⬟,4,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Gun Butt,Neophyte Hybrid Icon Bearer,10,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Autogun,Neophyte Hybrid Leader,11,True,,4,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
AutoPistol,Neophyte Hybrid Leader,11,True,⬟,4,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Bolt Pistol,Neophyte Hybrid Leader,11,True,⬟,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shotgun,Neophyte Hybrid Leader,11,True,⬟,4,2,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Web Pistol,Neophyte Hybrid Leader,11,True,⬟,4,2,2,2,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,True,False,False,False
Chainsword,Neophyte Hybrid Leader,11,False,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Gun Butt,Neophyte Hybrid Leader,11,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Power Maul,Neophyte Hybrid Leader,11,False,,4,3,4,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,True,False,False,False
Power Pick,Neophyte Hybrid Leader,11,False,,4,3,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
AutoPistol,Acolyte Hybrid Trooper,12,True,⬟,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Cult Knife and Claw,Acolyte Hybrid Trooper,12,False,,4,3,4,5,6,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Hand Flamer,Acolyte Hybrid Gunner,13,True,⬟,4,2,2,3,6,0,False,False,False,False,False,False,,False,▲,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Cult Knife and Claw,Acolyte Hybrid Gunner,13,False,,4,3,4,5,6,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
AutoPistol,Acolyte Hybrid Fighter,14,True,⬟,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Heavy Rock Cutter,Acolyte Hybrid Fighter,14,False,,4,4,5,7,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Heavy Rock Drill,Acolyte Hybrid Fighter,14,False,,4,3,4,7,6,0,False,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Heavy Rock Saw,Acolyte Hybrid Fighter,14,False,,4,3,5,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
AutoPistol,Acolyte Hybrid Icon Bearer,15,True,⬟,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Cult Knife and Claw,Acolyte Hybrid Icon Bearer,15,False,,4,3,4,5,6,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
AutoPistol,Acolyte Hybrid Leader,16,True,⬟,4,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hand Flamer,Acolyte Hybrid Leader,16,True,⬟,4,2,2,3,6,0,False,False,False,False,False,False,,False,▲,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Lashwhip,Acolyte Hybrid Leader,16,True,■,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,True,True,False,False
Cult Bonesword and Claw,Acolyte Hybrid Leader,16,False,,4,2,4,6,5,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Cult Knife and Claw,Acolyte Hybrid Leader,16,False,,4,2,4,5,6,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
AutoPistol,Hybrid Metamorph Fighter,17,True,⬟,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Metamorph Mutations,Hybrid Metamorph Fighter,17,False,,4,3,4,6,6,0,False,False,True,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Hand Flamer,Hybrid Metamorph Gunner,18,True,⬟,4,2,2,3,6,0,False,False,False,False,False,False,,False,▲,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Metamorph Mutations,Hybrid Metamorph Gunner,18,False,,4,3,4,6,6,0,False,False,True,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
AutoPistol,Hybrid Metamorph Icon Bearer,19,True,⬟,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Metamorph Mutations,Hybrid Metamorph Icon Bearer,19,False,,4,3,4,6,6,0,False,False,True,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
AutoPistol,Hybrid Metamorph Leader,20,True,⬟,4,2,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hand Flamer,Hybrid Metamorph Leader,20,True,⬟,4,2,2,3,6,0,False,False,False,False,False,False,,False,▲,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Cult Bonesword and Metamorph Mutations,Hybrid Metamorph Leader,20,False,,4,2,4,6,5,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Metamorph Mutations,Hybrid Metamorph Leader,20,False,,4,2,4,6,6,0,False,False,True,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Kroot Rifle,Kroot Carnivore Warrior,38,True,,4,4,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Rifle Blades,Kroot Carnivore Warrior,38,False,,3,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Kroot Rifle,Kroot Carnivore Leader,39,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Rifle Blades,Kroot Carnivore Leader,39,False,,3,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Ripping Fangs,Kroot Hound,40,False,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Kroot Gun,Krootox,41,True,,4,4,5,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Krootox Fists,Krootox,41,True,,5,3,4,6,6,0,False,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False
Hellblade,Bloodletter Fighter,98,False,,4,3,4,6,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hellblade,Bloodletter Icon Bearer,99,False,,4,3,4,6,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hellblade,Bloodletter Horn Bearer,100,False,,4,3,4,6,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hellblade,Bloodreaper,101,False,,4,2,4,6,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Claws,Daemonette Fighter,102,False,,3,3,4,5,6,0,True,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Claws,Daemonette Icon Bearer,103,False,,3,3,4,5,6,0,True,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Claws,Daemonette Horn Bearer,104,False,,3,3,4,5,6,0,True,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Claws,Alluress,105,False,,3,2,4,5,6,0,True,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plaguesword,Plaguebearer Fighter,106,False,,4,3,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plaguesword,Plaguebearer Icon Bearer,107,False,,4,3,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plaguesword,Plaguebearer Horn Bearer,108,False,,4,3,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plaguesword,Plagueridden,109,False,,4,2,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Coruscating Flames,Pink Horror Fighter,110,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fists,Pink Horror Fighter,110,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Coruscating Flames,Pink Horror Icon Bearer,111,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fists,Pink Horror Icon Bearer,111,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Coruscating Flames,Pink Horror Horn Bearer,112,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fists,Pink Horror Horn Bearer,112,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
